SKU,Description,Active,AssemblyAmount,AssemblyOption,AssemblyTime,BrandID,Category,DeliveryGroup,DiscountEligible,DisplayAvailability,FinancingEligible,FreightGroup,FreightRateType,FreightPercent,FreightAmount,LocalDelivery,Model,MSRP,Package,PowerType,ProductType,PromoName,QtyDanbury,QtyNewMilford,RebateEligible,RebateEndDate,RebateStartDate,RebateToCustomer,SaleEndDate,SalePrice,SaleStartDate,Series,SortOrder,SpecialFinancingEligible,SubCategory,System,Taxable,AllowBackorder,BuyOnlineEligible,MaximumOnLineQty,AvailabilityRequestEligible,ShippingEligible,ShippingRateType,ShipWeight,ShipLength,ShipWidth,ShipHeight,ShippingCarrierRule,ShippingRestriction,ShipsSeparately,RequiredSKU1,RequiredSKU1Qty,SKU1Requires1,SKU1Requires1Qty,SKU1Requires2,SKU1Requires2Qty,RequiredSKU2,RequiredSKU2Qty,SKU2Requires1,SKU2Requires1Qty,SKU2Requires2,SKU2Requires2Qty,RequiredSKU3,RequiredSKU3Qty,SKU3Requires1,SKU3Requires1Qty,SKU3Requires2,SKU3Requires2Qty,YZ252,YZ260,YZ360,YZ372,YZ460,YZ472,GROUP_SA223,SA223KBH-L,GROUP_SA325,GROUP_SA425,GROUP_SA425DHX,GROUP_YT235,GROUP_YT235C,GROUP_YT347,GROUP_YT347C,GROUP_YT359,GROUP_YT359C,GROUP_YM225,GROUP_YM232,GROUP_YM238,GROUP_YM342,GROUP_YM347,GROUP_YM359,GROUP_SM240,GROUP_SM240H,GROUP_SM475
12VOUTLET-SAP,12V Outlet Kit,T,100,F,1,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,1.5,,12VOUTLET-SAP,32,,,Accessory, ,0,0,T,,,,,,,,303,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,T,T,T,,,,,,,,,,,,,,,
ANGLEKIT-SAP,Angle Kit,T,100,F,1,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,35.34,,ANGLEKIT-SAP,737,,,Accessory, ,0,0,T,,,,,,,,304,,,Accessory,T,,,,,,,,,,,,,,FHKIT-SA22P,1,,,,,FHKIT-SA32P,1,,,,,,,,,,,,,,,,,T,,T,T,T,,,,,,,,,,,,,,,
ANGLEKIT-YT2P,Front Angle Kit,T,100,F,1,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,35.28,,ANGLEKIT-YT2P,735,,,Accessory, ,0,0,T,,,,,,,,305,,,Accessory,T,,,,,,,,,,,,,,FHKIT-YT2P,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,T,,,,,,,,,,,,,
CC2KIT-SAP,Cruise Control Kit,T,50,F,0.5,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,36.42,,CC2KIT-SAP,759,,,Accessory, ,0,0,T,,,,,,,,306,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,T,T,T,,,,,,,,,,,,,,,
DLKIT-SA22,Front PTO Kit,T,100,F,1,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,23.76,,DLKIT-SA22,495,,,Accessory, ,0,0,T,,,,,,,,307,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,
DLKIT-SA32,Front PTO Kit,T,100,F,1,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,26.28,,DLKIT-SA32,547,,,Accessory, ,0,0,T,,,,,,,,308,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,T,T,,,,,,,,,,,,,,,
DLKIT-YT2,Front PTO Kit,T,100,F,1,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,36.96,,DLKIT-YT2,770,,,Accessory, ,0,0,T,,,,,,,,309,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,T,,,,,,,,,,,,,
DLPKIT-SAP,Diff-Lock Kit,T,100,F,1,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,13.68,,DLPKIT-SAP,286,,,Accessory, ,0,0,T,,,,,,,,310,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,T,T,T,,,,,,,,,,,,,,,
DTKIT-RBS,Drip Tube Kit,T,50,F,0.5,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,13.5,,DTKIT-RBS,282,,,Accessory, ,0,0,T,,,,,,,,311,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FANGD-SAP,Fan Guard,T,100,F,1,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,13.68,,FANGD-SAP,286,,,Accessory, ,0,0,T,,,,,,,,312,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,T,T,T,,,,,,,,,,,,,,,
FHKIT-SA22P,Front Hitch Kit,T,100,F,1,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,86.22,,FHKIT-SA22P,1797,,,Accessory, ,0,0,T,,,,,,,,313,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,
FHKIT-SA32P,Front Hitch Kit,T,100,F,1,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,86.22,,FHKIT-SA32P,1797,,,Accessory, ,0,0,T,,,,,,,,314,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,T,T,,,,,,,,,,,,,,,
