SKU,Description,Active,AssemblyAmount,AssemblyOption,AssemblyTime,BrandID,Category,DeliveryGroup,DiscountEligible,DisplayAvailability,FinancingEligible,FreightGroup,LocalDelivery,Model,MSRP,PowerType,ProductType,PromoName,QtyDanbury,QtyNewMilford,RebateEligible,RebateEndDate,RebateStartDate,RebateToCustomer,SaleEndDate,SalePrice,SaleStartDate,Series,SortOrder,SpecialFinancingEligible,SubCategory,System,Taxable,AllowBackorder,BuyOnlineEligible,MaximumOnLineQty,AvailabilityRequestEligible,ShippingEligible,ShippingRateType,ShipWeight,ShipLength,ShipWidth,ShipHeight,ShippingCarrierRule,ShippingRestriction,ShipsSeparately,RequiredEngineHPMin,RequiredEngineHPMax,RequiredPTOHPMin,RequiredPTOHPMax,RequiredSKU1,RequiredSKU1Qty,SKU1Requires1,SKU1Requires1Qty,SKU1Requires2,SKU1Requires2Qty,RequiredSKU2,RequiredSKU2Qty,SKU2Requires1,SKU2Requires1Qty,SKU2Requires2,SKU2Requires2Qty,RequiredSKU3,RequiredSKU3Qty,SKU3Requires1,SKU3Requires1Qty,SKU3Requires2,SKU3Requires2Qty,RequiredSKU4,RequiredSKU4Qty,SKU4Requires1,SKU4Requires1Qty,SKU4Requires2,SKU4Requires2Qty,YZ252,YZ260,YZ360,YZ372,YZ460,YZ472,GROUP_SA223,SA223KBH-L,GROUP_SA325,GROUP_SA425,GROUP_SA425DHX,GROUP_YT235,GROUP_YT235C,GROUP_YT347,GROUP_YT347C,GROUP_YT359,GROUP_YT359C,GROUP_YM225,GROUP_YM232,GROUP_YM238,GROUP_YM342,GROUP_YM347,GROUP_YM359,GROUP_SM240,GROUP_SM240H,GROUP_SM475,WeightLb,WeightKg,Weight,WeightUnit,SpecLabel1,SpecValue1,SpecLabel2,SpecValue2,SpecLabel3,SpecValue3,SpecLabel4,SpecValue4,SpecLabel5,SpecValue5,SpecLabel6,SpecValue6,SpecLabel7,SpecValue7,SpecLabel8,SpecValue8,SpecLabel9,SpecValue9,SpecLabel10,SpecValue10
4PROPS-SAP,4 Post ROPS,T,200,T,2,YANMAR,Attachments,,T,T,T,YANMAR-ATTACHMENT,,4PROPS-SAP,3273,,Attachment, ,0,0,T,,,,,,,,257,,,Attachment,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, , , , , , ,,,,,,,, ,T,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B65A-SAP-KIT,B65 Backhoe,T,800,T,8,YANMAR,Attachments,,T,T,T,YANMAR-ATTACHMENT,,B65A-SAP-KIT,11308,,Attachment, ,0,0,T,,,,,,,,258,,Backhoes,Attachment,T,,,,,,,,,,,,,,,,,,YL110-SAP,1,BBUCKET12-B75P,1,,, , , , ,,,,,,,,, , , , , , ,,,,,,,T,F, ,  , ,,,,,,,,,,,,,,,,677,,,677 lb (307 kg),Maximum Digging Depth,78.4 in. (2' Flat Bottom),Swing Arc,150 degrees,Bucket Digging Force,"2,800 lbs. (1,280 kg)",Dipperstick Digging Force,"1,590 lbs. (721 kg)",Operating Pressure,"1,885 psi",Weight,677 lbs. (307 kg),,,,,,,,
B65A-SAP-KIT,B65 Backhoe,T,800,T,8,YANMAR,Attachments,,T,T,T,YANMAR-ATTACHMENT,,B65A-SAP-KIT,11308,,Attachment, ,0,0,T,,,,,,,,258,,Backhoes,Attachment,T,,,,,,,,,,,,,,,,,,YL210-SAP,1,BBUCKET16-B75P,1,,, , , , ,,,,,,,,, , , , , , ,,,,,,, , ,T, , ,,,,,,,,,,,,,,,,677,,,677 lb (307 kg),Maximum Digging Depth,76.9 in. (2' Flat Bottom),Swing Arc,150 degrees,Bucket Digging Force,"2,800 lbs. (1,280 kg)",Dipperstick Digging Force,"1,590 lbs. (721 kg)",Operating Pressure,"2,030 psi",Weight,677 lbs. (307 kg),,,,,,,,
B65A-SAP-KIT,B65 Backhoe,T,800,T,8,YANMAR,Attachments,,T,T,T,YANMAR-ATTACHMENT,,B65A-SAP-KIT,11308,,Attachment, ,0,0,T,,,,,,,,258,,Backhoes,Attachment,T,,,,,,,,,,,,,,,,,,YL210-SAP,1,BBUCKET16-B75P,1,,, , , , ,,,,,,,,, , , , , , ,,,,,,, , , ,T, ,,,,,,,,,,,,,,,,677,,,677 lb (307 kg),Maximum Digging Depth,76.0 in. (2' Flat Bottom),Swing Arc,150 degrees,Bucket Digging Force,"2,800 lbs. (1,280 kg)",Dipperstick Digging Force,"1,590 lbs. (721 kg)",Operating Pressure,"2,030 psi",Weight,677 lbs. (307 kg),,,,,,,,
B75A-YM2P-KIT,B75 Backhoe,T,800,T,8,YANMAR,Attachments,,T,T,T,YANMAR-ATTACHMENT,,B75A-YM2P-KIT,16379,,Attachment, ,0,0,T,,,,,,,,259,,Backhoes,Attachment,T,,,,,,,,,,,,,,,,,,YL405-YM2P,1,BBUCKET16-B75P,1,,, ,,,,,,,,,,,, , , , , , ,,,,,,,,,,,,,,,,,,T,T,T,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,
B75A-YT2P-KIT,B75 Backhoe,T,800,T,8,YANMAR,Attachments,,T,T,T,YANMAR-ATTACHMENT,,B75A-YT2P-KIT,16379,,Attachment, ,0,0,T,,,,,,,,260,,Backhoes,Attachment,T,,,,,,,,,,,,,,,,,,YL310-YT2P,1,BBUCKET18-B75P,1,,, ,,,,,,,,,,,, , , , , , ,,,,,,,,,,,,T,T,,,,,,,,,,,,,,1208,,,"1,208 lb (548 kg)",Maximum Digging Depth,90.0 in. (2' Flat Bottom),Swing Arc,180 degrees,Bucket Digging Force,"3,323 lbs. (1,507 kg)",Dipperstick Digging Force,"2,192 lbs. (994 kg)",Operating Pressure,"2,429 psi",Weight,"1,208 lbs. (598 kg)",,,,,,,,
B75-YT2P-KIT,B75 Backhoe,F,800,T,8,YANMAR,Attachments,,T,T,T,YANMAR-ATTACHMENT,,B75-YT2P-KIT,16379,,Attachment, ,0,0,T,,,,,,,,261,,Backhoes,Attachment,T,,,,,,,,,,,,,,,,,, , , , ,,, ,,,,,,,,,,,, , , , , , ,,,,,,,,,,,,T,T,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,
B85-YM3P-KIT,B85 Backhoe,T,800,T,8,YANMAR,Attachments,,T,T,T,YANMAR-ATTACHMENT,,B85-YM3P-KIT,19636,,Attachment, ,0,0,T,,,,,,,,262,,Backhoes,Attachment,T,,,,,,,,,,,,,,,,,,YL605-YM34P,1,BBUCKET18-B85P,1,,,YL605-YM35P,1,BBUCKET18-B85P,1,,,,,,,,, , , , , , ,,,,,,,,,,,,,,,,,,,,,T,T,T,,,,1818,,,"1,818 lb (825 kg)",Maximum Digging Depth,102.0 in. (2' Flat Bottom),Swing Arc, ,Bucket Digging Force,"4,600 lbs.",Dipperstick Digging Force,"2,940 lbs.",Operating Pressure, ,Weight,"1,818 lbs.",,,,,,,,
B85-YT3P-KIT,B85 Backhoe,T,800,T,8,YANMAR,Attachments,,T,T,T,YANMAR-ATTACHMENT,,B85-YT3P-KIT,19730,,Attachment, ,0,0,T,,,,,,,,263,,Backhoes,Attachment,T,,,,,,,,,,,,,,,,,,YL610B-YT34P,1,,,,,YL610B-YT35P,1,,,,,,,,,,, , , , , , ,,,,,,,,,,,,,,T,T,T,T,,,,,,,,,,1500,,,"1,500 lb (680 kg)",Maximum Digging Depth,109.0 in. (2' Flat Bottom),Swing Arc,180 degrees,Bucket Digging Force,"5,070 lbs. (2,299 kg)",Dipperstick Digging Force,"2,900 lbs. (1,315 kg)",Operating Pressure,"2,500 psi",Weight,"1,500 lbs. (680 kg)",,,,,,,,
BBUCKET12-B75P,"12"" Bucket",T,0,T,0,YANMAR,Attachments,,T,T,T,YANMAR-ATTACHMENT,,BBUCKET12-B75P,844,,Attachment, ,0,0,T,,,,,,,,264,, ,Attachment,T,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,, , , , , , ,,,,,,,T,F,T,T,T,T,T,,,,,T,T,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
