SKU,Description,Active,AssemblyAmount,AssemblyOption,AssemblyTime,BrandID,Category,DeliveryGroup,DiscountEligible,DisplayAvailability,FinancingEligible,FreightGroup,LocalDelivery,Model,MSRP,PowerType,ProductType,PromoName,QtyDanbury,QtyNewMilford,RebateEligible,RebateEndDate,RebateStartDate,RebateToCustomer,SaleEndDate,SalePrice,SaleStartDate,Series,SortOrder,SpecialFinancingEligible,SubCategory,System,Taxable,AllowBackorder,BuyOnlineEligible,MaximumOnLineQty,AvailabilityRequestEligible,ShippingEligible,ShippingRateType,ShipWeight,ShipLength,ShipWidth,ShipHeight,ShippingCarrierRule,ShippingRestriction,ShipsSeparately,RequiredEngineHPMin,RequiredEngineHPMax,RequiredPTOHPMin,RequiredPTOHPMax,RequiredSKU1,RequiredSKU1Qty,SKU1Requires1,SKU1Requires1Qty,SKU1Requires2,SKU1Requires2Qty,RequiredSKU2,RequiredSKU2Qty,SKU2Requires1,SKU2Requires1Qty,SKU2Requires2,SKU2Requires2Qty,RequiredSKU3,RequiredSKU3Qty,SKU3Requires1,SKU3Requires1Qty,SKU3Requires2,SKU3Requires2Qty,YZ252,YZ260,YZ360,YZ372,YZ460,YZ472,GROUP_SA223,SA223KBH-L,GROUP_SA325,GROUP_SA425,GROUP_SA425DHX,GROUP_YT235,GROUP_YT235C,GROUP_YT347,GROUP_YT347C,GROUP_YT359,GROUP_YT359C,GROUP_YM225,GROUP_YM232,GROUP_YM238,GROUP_YM342,GROUP_YM347,GROUP_YM359,GROUP_SM240,GROUP_SM240H,GROUP_SM475,WeightLb,WeightKg,Weight,WeightUnit,SpecLabel1,SpecValue1,SpecLabel2,SpecValue2,SpecLabel3,SpecValue3,SpecLabel4,SpecValue4,SpecLabel5,SpecValue5,SpecLabel6,SpecValue6,SpecLabel7,SpecValue7,SpecLabel8,SpecValue8,SpecLabel9,SpecValue9,SpecLabel10,SpecValue10
4PROPS-SAP,4 Post ROPS,T,200,T,2,YANMAR,Attachments,,T,T,T,YANMAR-ATTACHMENT,,4PROPS-SAP,3273,,Attachment, ,0,0,T,,,,,,,,257,,,Attachment,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B65A-SAP-KIT,B65 Backhoe,T,800,T,8,YANMAR,Attachments,,T,T,T,YANMAR-ATTACHMENT,,B65A-SAP-KIT,11308,,Attachment, ,0,0,T,,,,,,,,258,,,Attachment,T,,,,,,,,,,,,,,,,,,YL110-SAP,1,,,,,YL210-SAP,1,,,,,,,,,,,,,,,,,T,F,T,T,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B75A-YM2P-KIT,B75 Backhoe,T,800,T,8,YANMAR,Attachments,,T,T,T,YANMAR-ATTACHMENT,,B75A-YM2P-KIT,16379,,Attachment, ,0,0,T,,,,,,,,259,,,Attachment,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B75A-YT2P-KIT,B75 Backhoe,T,800,T,8,YANMAR,Attachments,,T,T,T,YANMAR-ATTACHMENT,,B75A-YT2P-KIT,16379,,Attachment, ,0,0,T,,,,,,,,260,,,Attachment,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B75-YT2P-KIT,B75 Backhoe,T,800,T,8,YANMAR,Attachments,,T,T,T,YANMAR-ATTACHMENT,,B75-YT2P-KIT,16379,,Attachment, ,0,0,T,,,,,,,,261,,,Attachment,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B85-YM3P-KIT,B85 Backhoe,T,800,T,8,YANMAR,Attachments,,T,T,T,YANMAR-ATTACHMENT,,B85-YM3P-KIT,19636,,Attachment, ,0,0,T,,,,,,,,262,,,Attachment,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B85-YT3P-KIT,B85 Backhoe,T,800,T,8,YANMAR,Attachments,,T,T,T,YANMAR-ATTACHMENT,,B85-YT3P-KIT,19730,,Attachment, ,0,0,T,,,,,,,,263,,,Attachment,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BBUCKET12-B75P,"12"" Bucket",T,0,T,0,YANMAR,Attachments,,T,T,T,YANMAR-ATTACHMENT,,BBUCKET12-B75P,844,,Attachment, ,0,0,T,,,,,,,,264,,,Attachment,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,F,T,T,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BBUCKET12-B85P,"12"" Bucket",T,0,T,0,YANMAR,Attachments,,T,T,T,YANMAR-ATTACHMENT,,BBUCKET12-B85P,1003,,Attachment, ,0,0,T,,,,,,,,265,,,Attachment,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BBUCKET16-B75P,"16"" Bucket",T,0,T,0,YANMAR,Attachments,,T,T,T,YANMAR-ATTACHMENT,,BBUCKET16-B75P,893,,Attachment, ,0,0,T,,,,,,,,266,,,Attachment,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,F,T,T,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
