Active,ZipCode,DeliveryTown,DeliveryState,DistanceMiles,Lookup,OriginZip,PickupLocationIDs,HHMaxMiles,HHPerMile,HHMinimum,HANDHELD,HHPD,WBMaxMiles,WBPerMile,WBMinimum,WALKBEHIND,WBPD,LargeWBMaxMiles,LargeWBPerMile,LargeWBMinimum,LARGEWB,LargeWBPD,RidingMaxMiles,RidingPerMile,RidingMinimum,RIDING,RidingPD,UTVMaxMiles,UTVPerMile,UTVBaseRate,UTV,UTVPD,CUTMaxMiles,CutPerMile,CutBaseRate,CUT,CUTPD,DeliveryNote
T,6018,Canaan,CT,51.9,6018,DA,NM|DA,0,5,80,260,520,0,5,80,260,520,15,5,100,260,520,16,5,100,260,520,17.5,4,100,310,520,17.5,4,100,310,520,
T,6030,Farmington,CT,48.7,6030,DA,NM|DA,0,5,80,250,490,0,5,80,250,490,15,5,100,250,490,16,5,100,250,490,17.5,4,100,300,490,17.5,4,100,300,490,
T,6032,Farmington,CT,49.9,6032,DA,NM|DA,0,5,80,250,500,0,5,80,250,500,15,5,100,250,500,16,5,100,250,500,17.5,4,100,300,500,17.5,4,100,300,500,
T,6034,Farmington,CT,48.7,6034,DA,NM|DA,0,5,80,250,490,0,5,80,250,490,15,5,100,250,490,16,5,100,250,490,17.5,4,100,300,490,17.5,4,100,300,490,
T,6039,Lakeville,CT,45.3,6039,DA,NM|DA,0,5,80,230,460,0,5,80,230,460,15,5,100,230,460,16,5,100,230,460,17.5,4,100,290,470,17.5,4,100,290,470,
T,6069,Sharon,CT,39,6069,DA,NM|DA,0,5,80,200,390,0,5,80,200,390,15,5,100,200,390,16,5,100,200,390,17.5,4,100,260,420,17.5,4,100,260,420,
T,6085,Unionville,CT,49.6,6085,DA,NM|DA,0,5,80,250,500,0,5,80,250,500,15,5,100,250,500,16,5,100,250,500,17.5,4,100,300,500,17.5,4,100,300,500,
T,6087,Unionville,CT,49.6,6087,DA,NM|DA,0,5,80,250,500,0,5,80,250,500,15,5,100,250,500,16,5,100,250,500,17.5,4,100,300,500,17.5,4,100,300,500,
T,6401,Ansonia,CT,25.3,6401,DA,NM|DA,0,5,80,130,260,0,5,80,130,260,15,5,100,130,260,16,5,100,130,260,17.5,4,100,210,310,17.5,4,100,210,310,
T,6403,Beacon Falls,CT,25.2,6403,DA,NM|DA,0,5,80,130,260,0,5,80,130,260,15,5,100,130,260,16,5,100,130,260,17.5,4,100,210,310,17.5,4,100,210,310,
T,6408,Cheshire,CT,33.2,6408,DA,NM|DA,0,5,80,170,340,0,5,80,170,340,15,5,100,170,340,16,5,100,170,340,17.5,4,100,240,370,17.5,4,100,240,370,
T,6410,Cheshire,CT,34.5,6410,DA,NM|DA,0,5,80,180,350,0,5,80,180,350,15,5,100,180,350,16,5,100,180,350,17.5,4,100,240,380,17.5,4,100,240,380,
T,6437,Guilford,CT,53.8,6437,DA,NM|DA,0,5,80,270,540,0,5,80,270,540,15,5,100,270,540,16,5,100,270,540,17.5,4,100,320,540,17.5,4,100,320,540,
T,6457,Middletown,CT,49.2,6457,DA,NM|DA,0,5,80,250,500,0,5,80,250,500,15,5,100,250,500,16,5,100,250,500,17.5,4,100,300,500,17.5,4,100,300,500,
T,6459,Middletown,CT,48.4,6459,DA,NM|DA,0,5,80,250,490,0,5,80,250,490,15,5,100,250,490,16,5,100,250,490,17.5,4,100,300,490,17.5,4,100,300,490,
T,6460,Milford,CT,29,6460,DA,NM|DA,0,5,80,150,290,0,5,80,150,290,15,5,100,150,290,16,5,100,150,290,17.5,4,100,220,340,17.5,4,100,220,340,
