Active,Amount,AppliesTo,AppliesToValue,ApplyWhen,ChargeType,DealerCostBasis,DeliveryGroup,DisplayLabel,FreightGroup,MaximumCharge,MinimumCharge,Percent,QtyMax,QtyMin,RuleID,RuleName,SortOrder,Notes
T,600,FreightGroup,SA,Always,Fixed,,,Factory Freight,SA,,,,,1,YANMAR-FREIGHT-SA,Yanmar SA Tractor Freight,10,$600 per SA tractor or package; included components add no separate freight.
T,700,FreightGroup,YT,Always,Fixed,,,Factory Freight,YT,,,,,1,YANMAR-FREIGHT-YT,Yanmar YT Tractor Freight,20,$700 per YT tractor or package; included components add no separate freight.
T,700,FreightGroup,YM,Always,Fixed,,,Factory Freight,YM,,,,,1,YANMAR-FREIGHT-YM,Yanmar YM Tractor Freight,30,$700 per YM tractor or package; included components add no separate freight.
T,700,FreightGroup,SM,Always,Fixed,,,Factory Freight,SM,,,,,1,YANMAR-FREIGHT-SM,Yanmar SM Tractor Freight,40,$700 per SM tractor or package; included components add no separate freight.
T,600,FreightGroup,Bull,Always,Fixed,,,Factory Freight,Bull,,,,,1,YANMAR-FREIGHT-BULL,Yanmar Bull UTV Freight,45,$600 per Bull UTV.
T,700,FreightGroup,Longhorn,Always,Fixed,,,Factory Freight,Longhorn,,,,,1,YANMAR-FREIGHT-LONGHORN,Yanmar Longhorn UTV Freight,46,$700 per Longhorn UTV.
T,700,FreightGroup,Brahma,Always,Fixed,,,Factory Freight,Brahma,,,,,1,YANMAR-FREIGHT-BRAHMA,Yanmar Brahma UTV Freight,47,$700 per Brahma UTV.
T,,FreightGroup,YANMAR-ATTACHMENT,Standalone,Percent,DNP,,Yanmar Attachment Freight,YANMAR-ATTACHMENT,,,6,,1,YANMAR-ATTACHMENT-6PCT,Standalone Yanmar Attachment Freight,50,Charge 6% of dealer net price when Yanmar attachments are ordered without a qualifying tractor or UTV shipment.
T,,FreightGroup,YANMAR-ACCESSORY,Standalone,Percent,DNP,,Yanmar Accessory Freight,YANMAR-ACCESSORY,,,6,,1,YANMAR-ACCESSORY-6PCT,Standalone Yanmar Accessory Freight,55,Charge 6% of dealer net price when Yanmar accessories are ordered without a qualifying tractor or UTV shipment.
T,,FreightGroup,YANMAR-ATTACHMENT,With3PlusTractorsOrUTVs,Percent,DNP,,Yanmar Attachment Freight,YANMAR-ATTACHMENT,,,2,,1,YANMAR-ATTACHMENT-2PCT,Combined Yanmar Attachment Freight,60,Charge 2% of dealer net price when attachments ship with at least 3 tractors or UTVs.
T,,FreightGroup,YANMAR-ACCESSORY,With3PlusTractorsOrUTVs,Percent,DNP,,Yanmar Accessory Freight,YANMAR-ACCESSORY,,,2,,1,YANMAR-ACCESSORY-2PCT,Combined Yanmar Accessory Freight,65,Charge 2% of dealer net price when accessories ship with at least 3 tractors or UTVs.
T,200,FreightGroup,ZTR,WithTractorOrUTV,Fixed,,,ZTR Factory Freight,ZTR,,,,6,1,YANMAR-ZTR-1-6,Yanmar ZTR Combined-Shipment Freight,70,Charge $200 per ZTR for 1–6 units shipped by truckload with tractors or UTVs.
T,0,FreightGroup,ZTR,WithTractorOrUTV,None,,,ZTR Freight Included,ZTR,0,0,,,7,YANMAR-ZTR-7PLUS,Yanmar ZTR Seven-Plus Freight,71,Seven or more ZTRs ship freight-free when shipped by truckload with tractors or UTVs.
T,,FreightGroup,ZTR,Standalone,Actual,,,Actual ZTR Freight,ZTR,,,,,1,YANMAR-ZTR-SPOT,Yanmar ZTR Spot-Rate Freight,72,Standalone or non-truckload ZTR orders use actual spot-rate freight.
T,0,FreightGroup,Power Equipment,WithTractorUTVorZTR,None,,,Power Equipment Freight Included,Power Equipment,0,0,,,1,YANMAR-POWER-FREE,Yanmar Power Equipment Combined Freight,75,"Power equipment ships freight-free with an existing tractor, UTV, or ZTR order."
T,,FreightGroup,Power Equipment,Standalone,Actual,,,Actual Power Equipment Freight,Power Equipment,,,,,1,YANMAR-POWER-SPOT,Yanmar Power Equipment Spot-Rate Freight,76,Standalone power-equipment orders use actual spot-rate freight.
T,0,FreightGroup,Tarter Attachment,DealerCostAtLeast6000,None,DNP,,Tarter Freight Included,Tarter Attachment,0,0,,,1,YANMAR-TARTER-FREE,Tarter Attachment Freight-Free Order,80,"Tarter orders totaling at least $6,000 dealer cost ship freight-free within the contiguous 48 states."
T,,FreightGroup,Tarter Attachment,DealerCostBelow6000,Actual,DNP,,Actual Tarter Freight,Tarter Attachment,,,,,1,YANMAR-TARTER-ACTUAL,Tarter Actual Freight,81,"Tarter orders below $6,000 are FOB Dunnville, Kentucky; actual freight is entered when known."
