ParentSKU,Description,Active,DeliveryGroup,SortOrder,Notes,BatterySKU1,BatteryQty1,BatterySKU2,BatteryQty2,BatterySKU3,BatteryQty3,ChargerSKU1,ChargerQty1,ChargerSKU2,ChargerQty2,ChargerSKU3,ChargerQty3,AttachmentSKU1,AttachmentQty1,AttachmentSKU2,AttachmentQty2,AttachmentSKU3,AttachmentQty3,AccessorySKU1,AccessoryQty1,PartSKU1,PartQty1
SA223BI-D,Yanmar SA223BI-D Compact Tractor,T,CUT,35,,,,,,,,,,,,,,M60B-SA21P,1,,,,,,,,
SA223BT-D,Yanmar SA223BT-D Compact Tractor,T,CUT,36,,,,,,,,,,,,,,M60B-SA21P,1,,,,,,,,
SA223BI-L,Yanmar SA223BI-L Compact Tractor,T,CUT,37,,,,,,,,,,,,,,YL110-SAP,1,,,,,,,,
SA223BT-L,Yanmar SA223BT-L Compact Tractor,T,CUT,38,,,,,,,,,,,,,,YL110-SAP,1,,,,,,,,
SA223BI-LD,Yanmar SA223BI-LD Compact Tractor,T,CUT,39,,,,,,,,,,,,,,YL110-SAP,1,M60B-SA21P,1,,,,,,
SA223BT-LD,Yanmar SA223BT-LD Compact Tractor,T,CUT,40,,,,,,,,,,,,,,YL110-SAP,1,M60B-SA21P,1,,,,,,
SA223BI-LB,Yanmar SA223BI-LB Compact Tractor,T,CUT,41,,,,,,,,,,,,,,YL110-SAP,1,B65A-SAP-KIT,1,BBUCKET12-B75P,1,,,,
SA223BT-LB,Yanmar SA223BT-LB Compact Tractor,T,CUT,42,,,,,,,,,,,,,,YL110-SAP,1,B65A-SAP-KIT,1,BBUCKET12-B75P,1,,,,
SA223KBH-L,Yanmar SA223KBH-L Compact Tractor,T,CUT,45,,,,,,,,,,,,,,YL110-SAP,1,,,,,,,,
SA325BI-D,Yanmar SA325BI-D Compact Tractor,T,CUT,50,,,,,,,,,,,,,,M60FB-SA24P,1,,,,,,,,
SA325BT-D,Yanmar SA325BT-D Compact Tractor,T,CUT,51,,,,,,,,,,,,,,M60FB-SA24P,1,,,,,,,,
SA325BI-L,Yanmar SA325BI-L Compact Tractor,T,CUT,52,,,,,,,,,,,,,,YL210-SAP,1,,,,,,,,
