SKU,Description,Active,AssemblyAmount,AssemblyOption,AssemblyTime,BrandID,Category,DeliveryGroup,DiscountEligible,DisplayAvailability,FinancingEligible,FreightGroup,LocalDelivery,Model,MSRP,Package,PowerType,ProductType,PromoName,QtyDanbury,QtyNewMilford,RebateEligible,RebateEndDate,RebateStartDate,SaleEndDate,RebateToCustomer,SalePrice,SaleStartDate,Series,SortOrder,SpecialFinancingEligible,SubCategory,System,Taxable,AllowBackorder,BuyOnlineEligible,MaximumOnLineQty,AvailabilityRequestEligible,ShippingEligible,ShippingRateType,ShipWeight,ShipLength,ShipWidth,ShipHeight,ShippingCarrierRule,ShippingRestriction,ShipsSeparately,RequiredSKU1,RequiredSKU1Qty,SKU1Requires1,SKU1Requires1Qty,SKU1Requires2,SKU1Requires2Qty,RequiredSKU2,RequiredSKU2Qty,SKU2Requires1,SKU2Requires1Qty,SKU2Requires2,SKU2Requires2Qty,RequiredSKU3,RequiredSKU3Qty,SKU3Requires1,SKU3Requires1Qty,SKU3Requires2,SKU3Requires2Qty,YZ252,YZ260,YZ360,YZ372,YZ460,YZ472,GROUP_SA223,SA223KBH-L,GROUP_SA325,GROUP_SA425,GROUP_SA425DHX,GROUP_YT235,GROUP_YT235C,GROUP_YT347,GROUP_YT347C,GROUP_YT359,GROUP_YT359C,GROUP_YM225,GROUP_YM232,GROUP_YM238,GROUP_YM342,GROUP_YM347,GROUP_YM359,GROUP_SM240,GROUP_SM240H,GROUP_SM475
1A8160-51550,Dry Battery,T,0,T,0,YANMAR,Parts,,T,T,T,,,,221.75,,,Part, ,0,0,T,,,,,,,,414,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,T,T,T,,,,,,,,,,,,,,,
1A8330-57210,"Heater, Radiator Hose",T,0,T,0,YANMAR,Parts,,T,T,T,,,,65.55,,,Part, ,0,0,T,,,,,,,,415,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,
119E21-95010,Engine Block Heater,T,100,T,1,YANMAR,Parts,,T,T,T,,,,207.85,,,Part, ,0,0,T,,,,,,,,416,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,T,T,,,,,,,,,,,,,,,
129652-95020,Engine Block Heater,T,100,T,1,YANMAR,Parts,,T,T,T,,,,87.03,,,Part, ,0,0,T,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,T,T,T,T,T,,,,T,T,T,,,
4T-85466001000,3rd Function Kit,T,250,T,2.5,YANMAR,Parts,,T,T,T,,,,1425.88,,,Part, ,0,0,T,,,,,,,,417,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,T,
4T-85476001000,3rd Function Kit,T,250,T,2.5,YANMAR,Parts,,T,T,T,,,,1030.75,,,Part, ,0,0,T,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T
4T-12335082000,Single Rear Remove Valve Kit,T,250,T,2.5,YANMAR,Parts,,T,T,T,,,,348.51,,,Part, ,0,0,T,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,T,
4T-12335084000,Dual Rear Remote Valve Kit,T,250,T,2.5,YANMAR,Parts,,T,T,T,,,,678.99,,,Part, ,0,0,T,,,,,,,,420,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,T,
4T-18025080151,Dual Rear Remote Valve Kit,T,250,T,2.5,YANMAR,Parts,,T,T,T,,,,634.82,,,Part, ,0,0,T,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T
4T-12346210000,Cruise Control,T,100,T,1,YANMAR,Parts,,T,T,T,,,,178.36,,,Part, ,0,0,T,,,,,,,,422,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,T,
