SKU,Description,Active,AssemblyAmount,AssemblyOption,AssemblyTime,BrandID,Category,DeliveryGroup,DiscountEligible,DisplayAvailability,FinancingEligible,FreightGroup,LocalDelivery,Model,MSRP,PowerType,ProductType,PromoName,QtyDanbury,QtyNewMilford,RebateEligible,RebateEndDate,RebateStartDate,RebateToCustomer,SaleEndDate,SalePrice,SaleStartDate,Series,SortOrder,SpecialFinancingEligible,SubCategory,System,Taxable,AllowBackorder,BuyOnlineEligible,MaximumOnLineQty,AvailabilityRequestEligible,ShippingEligible,ShippingRateType,ShipWeight,ShipLength,ShipWidth,ShipHeight,ShippingCarrierRule,ShippingRestriction,ShipsSeparately,WarrantyResidentialUse,WarrantyCommercialUse,WeightLb,WeightKg,Weight,WeightUnit,SpecLabel1,SpecValue1,SpecLabel2,SpecValue2,SpecLabel3,SpecValue3,SpecLabel4,SpecValue4,SpecLabel5,SpecValue5,SpecLabel6,SpecValue6,SpecLabel7,SpecValue7,SpecLabel8,SpecValue8,SpecLabel9,SpecValue9,SpecLabel10,SpecValue10,ImageURL,InventoryURL,ManualURL,ProductURL,Notes
SA223BI,Yanmar SA223BI Compact Tractor,T,0,T,0,YANMAR,Compact Tractors,CUT,T,T,T,SA,T,SA223BI,17199,Diesel,Tool, ,0,0,T,2026-09-30,2026-08-01,500,,,,SA223,33,,,SA,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA223BT,Yanmar SA223BT Compact Tractor,T,0,T,0,YANMAR,Compact Tractors,CUT,T,T,T,SA,T,SA223BT,17199,Diesel,Tool,,0,0,T,2026-09-30,2026-08-01,500,,,,SA223,34,,,SA,T,,,,,,,,,,,,,,5 Year Residential Use,90 Days Commercial Use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA223BI-D,Yanmar SA223BI-D Compact Tractor,T,0,T,0,YANMAR,Compact Tractors,CUT,T,T,T,SA,T,SA223BI-D,21299,Diesel,Tool,,0,0,T,2026-09-30,2026-08-01,1200,,,,SA223,35,,,SA,T,,,,,,,,,,,,,,5 Year Residential Use,90 Days Commercial Use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA223BT-D,Yanmar SA223BT-D Compact Tractor,T,0,T,0,YANMAR,Compact Tractors,CUT,T,T,T,SA,T,SA223BT-D,21299,Diesel,Tool,,0,0,T,2026-09-30,2026-08-01,1200,,,,SA223,36,,,SA,T,,,,,,,,,,,,,,2 Year Residential Use,2 Year Commercial Use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA223BI-L,Yanmar SA223BI-L Compact Tractor,T,0,T,0,YANMAR,Compact Tractors,CUT,T,T,T,SA,T,SA223BI-L,21899,Diesel,Tool,,0,0,T,2026-09-30,2026-08-01,1200,,,,SA223,37,,,SA,T,,,,,,,,,,,,,,5 Year Residential Use,90 Days Commercial Use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA223BT-L,Yanmar SA223BT-L Compact Tractor,T,0,T,0,YANMAR,Compact Tractors,CUT,T,T,T,SA,T,SA223BT-L,21899,Diesel,Tool,,0,0,T,2026-09-30,2026-08-01,1200,,,,SA223,38,,,SA,T,,,,,,,,,,,,,,2 Year Residential Use,2 Year Commercial Use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA223BI-LD,Yanmar SA223BI-LD Compact Tractor,T,0,T,0,YANMAR,Compact Tractors,CUT,T,T,T,SA,T,SA223BI-LD,25999,Diesel,Tool,,0,0,T,2026-09-30,2026-08-01,1500,,,,SA223,39,,,SA,T,,,,,,,,,,,,,,5 Year Residential Use,90 Days Commercial Use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA223BT-LD,Yanmar SA223BT-LD Compact Tractor,T,0,T,0,YANMAR,Compact Tractors,CUT,T,T,T,SA,T,SA223BT-LD,25999,Diesel,Tool,,0,0,T,2026-09-30,2026-08-01,1500,,,,SA223,40,,,SA,T,,,,,,,,,,,,,,2 Year Residential Use,2 Year Commercial Use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA223BT-LB,Yanmar SA223BT-LB Compact Tractor,T,0,T,0,YANMAR,Compact Tractors,CUT,T,T,T,SA,T,SA223BT-LB,33599,Diesel,Tool,,1,1,T,2026-09-30,2026-08-01,1500,,,,SA223,42,,,SA,T,,,,,,,,,,,,,,2 Year Residential Use,2 Year Commercial Use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA223KBH-L,Yanmar SA223KBH-L Compact Tractor,T,0,T,0,YANMAR,Compact Tractors,CUT,T,T,T,SA,T,SA223KBH-L,23199,Diesel,Tool,,0,0,T,2026-09-30,2026-08-01,900,,,,SA223,45,,,SA,T,,,,,,,,,,,,,,3 Year Residential Use,1 Year Commercial Use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA325BI,Yanmar SA325BI Compact Tractor,T,0,T,0,YANMAR,Compact Tractors,CUT,T,T,T,SA,T,SA325BI,19999,Diesel,Tool,,0,0,T,2026-09-30,2026-08-01,500,,,,SA325,48,,,SA,T,,,,,,,,,,,,,,3 Year Residential Use,1 Year Commercial Use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA325BT,Yanmar SA325BT Compact Tractor,T,0,T,0,YANMAR,Compact Tractors,CUT,T,T,T,SA,T,SA325BT,19999,Diesel,Tool,,0,0,T,2026-09-30,2026-08-01,500,,,,SA325,49,,,SA,T,,,,,,,,,,,,,,3 Year Residential Use,1 Year Commercial Use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA325BI-D,Yanmar SA325BI-D Compact Tractor,T,0,T,0,YANMAR,Compact Tractors,CUT,T,T,T,SA,T,SA325BI-D,24599,Diesel,Tool,,0,0,T,2026-09-30,2026-08-01,1900,,,,SA325,50,,,SA,T,,,,,,,,,,,,,,3 Year Residential Use,1 Year Commercial Use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA325BT-D,Yanmar SA325BT-D Compact Tractor,T,0,T,0,YANMAR,Compact Tractors,CUT,T,T,T,SA,T,SA325BT-D,24599,Diesel,Tool,,0,0,T,2026-09-30,2026-08-01,1900,,,,SA325,51,,,SA,T,,,,,,,,,,,,,,3 Year Residential Use,1 Year Commercial Use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA325BI-L,Yanmar SA325BI-L Compact Tractor,T,0,T,0,YANMAR,Compact Tractors,CUT,T,T,T,SA,T,SA325BI-L,25299,Diesel,Tool,,1,1,T,2026-09-30,2026-08-01,1900,,,,SA325,52,,,SA,T,,,,,,,,,,,,,,3 Year Residential Use,1 Year Commercial Use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA325BT-L,Yanmar SA325BT-L Compact Tractor,T,0,T,0,YANMAR,Compact Tractors,CUT,T,T,T,SA,T,SA325BT-L,25299,Diesel,Tool,,0,0,T,2026-09-30,2026-08-01,1900,,,,SA325,53,,,SA,T,,,,,,,,,,,,,,3 Year Residential Use,1 Year Commercial Use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA325BI-LD,Yanmar SA325BI-LD Compact Tractor,T,0,T,0,YANMAR,Compact Tractors,CUT,T,T,T,SA,T,SA325BI-LD,29899,Diesel,Tool,,0,0,T,2026-09-30,2026-08-01,2200,,,,SA325,54,,,SA,T,,,,,,,,,,,,,,3 Year Residential Use,1 Year Commercial Use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
